#,Event,Team,Maps,KPR - DPR,plus_minus,Rating3.0
1st,BLAST Premier Spring Final 2022,Natus Vincere,12,0.88 - 0.58,88,1.37 *
2nd,PGL Major Antwerp 2022,Natus Vincere,12,0.81 - 0.65,52,1.20 *
4th,PGL Major Antwerp 2022 Europe RMR A,Natus Vincere,9,0.92 - 0.56,84,1.40 *
5-8th,ESL Pro League Season 15,Natus Vincere,13,0.92 - 0.57,129,1.44 *
3-4th,IEM Katowice 2022,Natus Vincere,10,0.83 - 0.60,63,1.28 *
4-6th,BLAST Premier Spring Groups 2022,Natus Vincere,9,0.86 - 0.64,56,1.26 *
1st,BLAST Premier World Final 2021,Natus Vincere,15,0.90 - 0.59,122,1.42 *
1st,BLAST Premier Fall Final 2021,Natus Vincere,10,0.93 - 0.59,84,1.39 *
1st,PGL Major Stockholm 2021,Natus Vincere,10,0.95 - 0.55,106,1.47 *
2nd,IEM Fall 2021 CIS,Natus Vincere,9,0.84 - 0.60,62,1.25 *
1-3rd,BLAST Premier Fall Groups 2021,Natus Vincere,8,0.75 - 0.60,29,1.18 *
1st,ESL Pro League Season 14,Natus Vincere,20,0.88 - 0.62,135,1.35 *
1st,IEM Cologne 2021,Natus Vincere,14,0.96 - 0.54,151,1.51 *
1st,StarLadder CIS RMR 2021,Natus Vincere,23,0.85 - 0.59,157,1.35 *
2nd,BLAST Premier Spring Final 2021,Natus Vincere,13,0.77 - 0.58,65,1.21 *
5th,EPIC League CIS 2021,Natus Vincere,16,0.89 - 0.66,94,1.30 *
1st,DreamHack Masters Spring 2021,Natus Vincere,15,0.91 - 0.58,132,1.41 *
9-12th,ESL Pro League Season 13,Natus Vincere,14,0.84 - 0.61,95,1.30 *
5-6th,IEM Katowice 2021,Natus Vincere,9,0.86 - 0.60,65,1.31 *
1-3rd,BLAST Premier Spring Groups 2021,Natus Vincere,8,0.92 - 0.57,74,1.34 *
1st,BLAST Premier Global Final 2020,Natus Vincere,14,0.89 - 0.58,116,1.41 *
3-4th,IEM Global Challenge 2020,Natus Vincere,7,0.84 - 0.61,45,1.25 *
4th,BLAST Premier Fall 2020 Finals,Natus Vincere,9,0.91 - 0.60,80,1.37 *
2nd,IEM Beijing-Haidian 2020 Europe,Natus Vincere,18,0.87 - 0.61,119,1.31 *
4-6th,BLAST Premier Fall Series 2020,Natus Vincere,10,0.95 - 0.63,83,1.37 *
4th,IEM New York 2020 CIS,Natus Vincere,15,0.74 - 0.66,30,1.14 *
2nd,ESL Pro League Season 12 Europe,Natus Vincere,27,0.92 - 0.62,217,1.35 *
9-12th,ESL One Cologne 2020 Europe,Natus Vincere,7,0.78 - 0.66,20,1.13 *
1st,WePlay! Clutch Island,Natus Vincere,15,0.76 - 0.53,96,1.23 *
4th,BLAST Premier Spring 2020 Europe Finals,Natus Vincere,11,0.82 - 0.61,58,1.23 *
4th,DreamHack Masters Spring 2020 - Europe,Natus Vincere,13,0.84 - 0.59,89,1.30 *
7-8th,ESL One: Road to Rio - CIS,Natus Vincere,11,0.91 - 0.54,113,1.41 *
4th,ESL Pro League Season 11 Europe,Natus Vincere,25,0.85 - 0.61,166,1.27 *
1st,IEM Katowice 2020,Natus Vincere,18,0.83 - 0.56,119,1.34 *
